route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4225,MCRO,  1,1-Silver Spring-Friendship Heights,,3,,808000,FFFFFF
4226,MCRO,  2,2-Silver Spring-Lyttonsville,,3,,C0DCC0,FFFFFF
4227,MCRO,  3,3-Silver Spring-Takoma,,3,,800080,FFFFFF
4228,MCRO,  4,4-Silver Spring-Kensington,,3,,00FF00,FFFFFF
4229,MCRO,  5,5-Silver Spring-Twinbrook Station,,3,,FFFF00,FFFFFF
4230,MCRO,  6,6-Parkside-Grosvenor-Mont. Mall,,3,,00FFFF,FFFFFF
4231,MCRO,  7,7-Wheaton-Forest Glen,,3,,FF00FF,FFFFFF
4232,MCRO,  8,8-Silver Spring-Wheaton,,3,,800080,FFFFFF
4233,MCRO,  9,9-Silver Spring-Wheaton,,3,,00FFFF,FFFFFF
4234,MCRO, 10,10-Twinbrook Station-Hillandale,,3,,00FFFF,FFFFFF
4235,MCRO, 11,11-Silver Spring-Friendship Heights,,3,,DF0070,FFFFFF
4236,MCRO, 12,12-Silver Spring-Takoma,,3,,FF80C0,FFFFFF
4237,MCRO, 13,13-Silver Spring-Takoma,,3,,0000FF,FFFFFF
4238,MCRO, 14,14-Silver Spring-Takoma,,3,,0000FF,FFFFFF
4239,MCRO, 15,15-Silver Spring-Langley Park,,3,,0000FF,FFFFFF
4240,MCRO, 16,16-Silver Spring-Takoma,,3,,0000FF,FFFFFF
4241,MCRO, 17,17-Silver Spring-Langley Park,,3,,0000FF,FFFFFF
4242,MCRO, 18,18-Silver Spring -Takoma -Langley,,3,,0000FF,FFFFFF
4243,MCRO, 19,19-Silver Spring-Northwood,,3,,0000FF,FFFFFF
4244,MCRO, 20,20-Silver Spring-Hillandale,,3,,0000FF,FFFFFF
4245,MCRO, 21,21-Silver Spring-Briggs Chaney P&R,,3,,0000FF,FFFFFF
4246,MCRO, 22,22-Silver Spring-Hillandale,,3,,0000FF,FFFFFF
4247,MCRO, 23,23-Friendship Hghts-Sibley Hospital,,3,,0000FF,FFFFFF
4248,MCRO, 24,24-Hillandale-Takoma,,3,,0000FF,FFFFFF
4249,MCRO, 25,25-Takoma Station-Langley Park,,3,,0000FF,FFFFFF
4250,MCRO, 26,26-Montgomery Mall-Glenmont,,3,,0000FF,FFFFFF
