stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6,20006,AIRPARK RD & ORBIT DR,,39.171065,-77.157423,,,,
8,20008,AIRPARK RD & WOODFIELD RD,,39.169734,-77.155316,,,,
10,20010,AIRPARK RD & WOODFIELD RD,,39.168721,-77.153572,,,,
12,20012,AIRPARK RD & MUNCASTER MILL RD,,39.149141,-77.146686,,,,
14,20014,AIRPARK RD & MUNCASTER MILL RD,,39.148931,-77.146369,,,,
16,20016,AIRPARK RD & WOODFIELD RD,,39.169899,-77.155258,,,,
18,20018,AIRPARK RD & ORBIT DR,,39.171301,-77.158023,,,,
20,20020,AIRPARK RD & CESSNA AVE,,39.170414,-77.159958,,,,
22,20022,AMHERST AVE & UNIVERSITY BLVD,,39.040575,-77.048348,,,,
26,20026,AMHERST AVE & BLUERIDGE AVE,,39.043213,-77.047821,,,,
28,20028,AMHERST AVE & ELKINS ST,,39.044731,-77.047852,,,,
30,20030,AMHERST AVE & ARCOLA AVE,,39.046961,-77.048459,,,,
32,20032,AMHERST AVE & ARCOLA AVE,,39.046696,-77.048582,,,,
34,20034,AMHERST AVE & ELKINS ST,,39.045125,-77.048134,,,,
36,20036,AMHERST AVE & BLUERIDGE AVE,,39.043488,-77.047943,,,,
38,20038,AMHERST AVE & UNIVERSITY BLVD,,39.04046,-77.048617,,,,
40,20040,APPLE RIDGE RD & DARLINGTON DR,,39.184983,-77.209167,,,,
42,20042,APPLE RIDGE RD & DELLCASTLE RD,,39.185069,-77.206938,,,,
44,20044,APPLE RIDGE RD & SHADOW OAK DR,,39.185814,-77.202415,,,,
46,20046,APPLE RIDGE RD & MONTGOMERY VILLAGE AVE,,39.187043,-77.199177,,,,
48,20048,APPLE RIDGE RD & SHADOW OAK DR,,39.186006,-77.202393,,,,
50,20050,APPLE RIDGE RD & DELLCASTLE RD,,39.185157,-77.206776,,,,
52,20052,APPLE RIDGE RD & DARLINGTON DR,,39.185138,-77.209182,,,,
54,20054,ARCOLA AVE & GALT AVE,,39.047638,-77.055122,,,,
56,20056,ARCOLA AVE & GRANDVIEW AVE,,39.047104,-77.053017,,,,
58,20058,ARCOLA AVE & NAIRN RD,,39.047176,-77.04284,,,,
60,20060,ARCOLA AVE & CHANNING DR,,39.047229,-77.040684,,,,
62,20062,ARCOLA AVE & OREBAUGH AVE,,39.046986,-77.037025,,,,
64,20064,ARCOLA AVE & KEMP MILL RD,,39.04604,-77.032433,,,,
66,20066,ARCOLA AVE & KERSEY RD,,39.043701,-77.030746,,,,
68,20068,ARCOLA AVE & LAMBERTON DR,,39.041428,-77.02935,,,,
70,20070,ARCOLA AVE & KENBROOK DR,,39.039234,-77.027901,,,,
72,20072,ARCOLA AVE & HOYT ST,,39.037571,-77.026772,,,,
74,20074,ARCOLA AVE & UNIVERSITY BLVD,,39.036572,-77.025915,,,,
76,20076,ARCOLA AVE & HOYT ST,,39.036803,-77.02586,,,,
78,20078,ARCOLA AVE & HOYT ST,,39.037799,-77.026747,,,,
80,20080,ARCOLA AVE & KENBROOK DR,,39.039055,-77.027603,,,,
82,20082,ARCOLA AVE & LAMBERTON DR,,39.04097,-77.028839,,,,
